exercise_id,name,aliases,canonical_family,exercise_class,metric_recipe,primary_modality,equipment,body_position,movement_pattern,force_type,laterality,uses_bodyweight,load_type,main_muscle_groups,secondary_muscle_groups,joints_emphasized,skill_tags,context_tags,is_hold,is_cardio,supports_live_tracking,default_summary_format,search_text,notes
barbell-back-squat,Barbell Back Squat,high bar squat|low bar squat|back squat|bb back squat|Barbell Back Squat,squat,bilateral-load,load+reps+rpe,strength,barbell|rack|squat-rack,standing,squat,dynamic,bilateral,false,external,quads|glute max|adductors,hamstrings|spinal erectors|core,hip|knee|ankle|spine,compound|strength|strength-sport,gym|rack|free-weights,false,false,true,load_x_reps_rpe,barbell back squat high bar squat low bar squat back squat bb back squat barbell back squat squat barbell rack squat-rack quads glute max adductors hamstrings spinal erectors core hip knee ankle spine compound strength strength-sport gym rack free-weights,
barbell-front-squat,Barbell Front Squat,front squat|clean grip front squat|cross arm front squat|Barbell Front Squat,squat,bilateral-load,load+reps+rpe,strength,barbell|rack|squat-rack,standing,squat,dynamic,bilateral,false,external,quads|upper back|glute max,adductors|core|spinal erectors,hip|knee|ankle|spine|shoulder,compound|upright-torso|front-rack|olympic-lifting|strength-sport,gym|rack|free-weights,false,false,true,load_x_reps_rpe,barbell front squat front squat clean grip front squat cross arm front squat barbell front squat squat barbell rack squat-rack quads upper back glute max adductors core spinal erectors hip knee ankle spine shoulder compound upright-torso front-rack olympic-lifting strength-sport gym rack free-weights,
barbell-overhead-squat,Barbell Overhead Squat,overhead squat|OHS|Barbell Overhead Squat,squat,bilateral-load,load+reps+rpe,strength,barbell|rack|squat-rack,standing,squat|overhead,dynamic,bilateral,false,external,quads|glute max|upper back,shoulders|core|spinal erectors|adductors,shoulder|scapula|hip|knee|ankle|spine,advanced|overhead|mobility-demanding|olympic-lifting,gym|olympic-lifting|free-weights|niche,false,false,true,load_x_reps_rpe,barbell overhead squat overhead squat ohs barbell overhead squat squat barbell rack squat-rack quads glute max upper back shoulders core spinal erectors adductors shoulder scapula hip knee ankle spine advanced overhead mobility-demanding olympic-lifting gym olympic-lifting free-weights niche,
barbell-deadlift,Barbell Deadlift,conventional deadlift|deadlift|bb deadlift|Barbell Deadlift,deadlift,bilateral-load,load+reps+rpe,strength,barbell|plates,standing,hinge,dynamic,bilateral,false,external,glute max|hamstrings|spinal erectors,lats|upper back|forearms|quads,hip|knee|spine|shoulder,compound|strength|strength-sport|grip,gym|platform|free-weights,false,false,true,load_x_reps_rpe,barbell deadlift conventional deadlift deadlift bb deadlift barbell deadlift deadlift barbell plates glute max hamstrings spinal erectors lats upper back forearms quads hip knee spine shoulder compound strength strength-sport grip gym platform free-weights,
barbell-sumo-deadlift,Barbell Sumo Deadlift,sumo deadlift|Barbell Sumo Deadlift,deadlift,bilateral-load,load+reps+rpe,strength,barbell|plates,standing,hinge,dynamic,bilateral,false,external,glute max|adductors|quads,hamstrings|spinal erectors|upper back,hip|knee|spine,compound|strength|wide-stance|strength-sport,gym|platform|free-weights,false,false,true,load_x_reps_rpe,barbell sumo deadlift sumo deadlift barbell sumo deadlift deadlift barbell plates glute max adductors quads hamstrings spinal erectors upper back hip knee spine compound strength wide-stance strength-sport gym platform free-weights,
barbell-romanian-deadlift,Barbell Romanian Deadlift,romanian deadlift|RDL|bb RDL|Barbell Romanian Deadlift,hinge,bilateral-load,load+reps+rpe,hypertrophy,barbell|plates,standing,hinge,dynamic,bilateral,false,external,hamstrings|glute max,spinal erectors|lats|forearms,hip|spine|knee,posterior-chain,gym|free-weights,false,false,true,load_x_reps_rpe,barbell romanian deadlift romanian deadlift rdl bb rdl barbell romanian deadlift hinge barbell plates hamstrings glute max spinal erectors lats forearms hip spine knee posterior-chain gym free-weights,
barbell-rack-pull,Barbell Rack Pull,rack pull|block pull|pin pull,deadlift,bilateral-load,load+reps+rpe,strength,barbell|rack|blocks|power-rack,standing,hinge,dynamic,bilateral,false,external,spinal erectors|glute max|upper back,hamstrings|lats|forearms,hip|spine|knee,strength|lockout-focus|partial-range|powerlifting|grip,gym|rack|free-weights,false,false,true,load_x_reps_rpe,barbell rack pull rack pull block pull pin pull deadlift barbell rack blocks power-rack spinal erectors glute max upper back hamstrings lats forearms hip spine knee strength lockout-focus partial-range powerlifting grip gym rack free-weights,
barbell-good-morning,Barbell Good Morning,good morning|Barbell Good Morning,hinge,bilateral-load,load+reps+rpe,hypertrophy,barbell|rack,standing,hinge,dynamic,bilateral,false,external,hamstrings|glute max|spinal erectors,adductors|core,hip|spine|knee,posterior-chain|hip-hinge,gym|rack|free-weights,false,false,true,load_x_reps_rpe,barbell good morning good morning barbell good morning hinge barbell rack hamstrings glute max spinal erectors adductors core hip spine knee posterior-chain hip-hinge gym rack free-weights,
barbell-hip-thrust,Barbell Hip Thrust,hip thrust|bb hip thrust|barbell glute thrust|Barbell Hip Thrust,hip-thrust,bilateral-load,load+reps+rpe,hypertrophy,barbell|bench,supported,hinge,dynamic,bilateral,false,external,glute max,hamstrings|adductors|core,hip|spine,glute-focus,gym|free-weights,false,false,true,load_x_reps_rpe,barbell hip thrust hip thrust bb hip thrust barbell glute thrust barbell hip thrust hip-thrust barbell bench glute max hamstrings adductors core hip spine glute-focus gym free-weights,
barbell-bench-press,Barbell Bench Press,bench press|flat barbell bench|bb bench|bb bench press|Barbell Bench Press,bench-press,bilateral-load,load+reps+rpe,strength,barbell|bench|rack|flat-bench,lying-supine,horizontal-push,dynamic,bilateral,false,external,pecs|triceps|front delts,serratus|lats,shoulder|elbow|scapula,compound|strength|powerlifting,gym|bench-area|free-weights,false,false,true,load_x_reps_rpe,barbell bench press bench press flat barbell bench bb bench bb bench press barbell bench press bench-press barbell bench rack flat-bench pecs triceps front delts serratus lats shoulder elbow scapula compound strength powerlifting gym bench-area free-weights,
